timestamp,open,high,low,close,vol,holdingvol,ZTM:MACD,ZTM:RSI,ZTM:ma5,ZTM:ma7,ZTM:ma10,ZTM:ma21,lastclose,label
1272294180,3231.50,3231.9,3228.4,3228.4,830,9637,-5.47,30.99,3229.16,3228.94,3231.07,3239.48,3231.6,-1
1272294360,3228.30,3230.2,3228.2,3229.7,485,9492,-5.33,34.13,3229.56,3229.19,3229.93,3238.51,3228.4,1
1272294540,3229.90,3230.8,3229.3,3230.8,591,9293,-5.07,36.75,3229.9,3229.47,3229.2,3237.6,3229.7,1
1272294720,3230.80,3234.8,3230.5,3233,1311,8687,-4.63,41.75,3230.7,3230.23,3229.61,3236.81,3230.8,1
1272359700,3218.70,3218.7,3203.9,3205.8,2275,9066,-6.41,20.34,3225.54,3226.9,3227.39,3234.84,3233,-1
1272359880,3206.00,3207.8,3202.1,3203.4,1406,9275,-7.92,19.4,3220.54,3223.24,3224.85,3232.7,3205.8,-1
1272360060,3203.40,3208.3,3203.2,3207,781,9287,-8.72,25.03,3216,3219.73,3222.78,3230.6,3203.4,1
1272360240,3206.70,3207.3,3203.1,3203.7,891,9347,-9.52,23.41,3210.58,3216.2,3220.24,3228.41,3207,-1
1272360420,3203.40,3203.4,3199.2,3202.4,1163,9384,-10.13,22.79,3204.46,3212.3,3217.58,3226.19,3203.7,-1
1272360600,3202.20,3205.3,3202.2,3205.2,833,9483,-10.28,27.28,3204.34,3208.64,3214.94,3224.47,3202.4,1
1272360780,3205.20,3205.2,3197.4,3199.9,1380,9829,-10.7,24.39,3203.64,3203.91,3212.09,3222.47,3205.2,-1
1272360960,3200.40,3201.7,3196.1,3198.7,1582,10034,-11,23.77,3201.98,3202.9,3208.99,3220.49,3199.9,-1
1272361140,3198.70,3199.4,3196.1,3198.1,1378,10161,-11.16,23.46,3200.86,3202.14,3205.72,3218.44,3198.7,-1
1272361320,3198.10,3199.1,3193.2,3195.8,1635,10315,-11.34,22.23,3199.54,3200.54,3202,3216.43,3198.1,-1
1272361500,3195.80,3198.1,3195.3,3197.7,1059,10395,-11.2,25.69,3198.04,3199.69,3201.19,3214.94,3195.8,1
1272361680,3198.00,3198.6,3196,3197.9,1059,10456,-10.95,26.06,3197.64,3199.04,3200.64,3213.51,3197.7,1
1272361860,3197.80,3200.4,3196.2,3196.2,1346,10653,-10.76,24.92,3197.14,3197.76,3199.56,3211.96,3197.9,-1
1272362040,3196.20,3197.1,3191.3,3193.6,1823,10856,-10.7,23.24,3196.24,3196.86,3198.55,3210.33,3196.2,-1
1272362220,3193.60,3195.5,3193.6,3194.4,994,11043,-10.47,24.91,3195.96,3196.24,3197.75,3208.68,3193.6,1
1272362400,3194.80,3195.9,3192.9,3193.8,1119,11122,-10.21,24.48,3195.18,3195.63,3196.61,3207,3194.4,-1
1272362580,3193.60,3195.8,3191.5,3195.5,1544,11181,-9.76,28.28,3194.7,3195.59,3196.17,3205.29,3193.8,1
1272362760,3195.50,3198.1,3190.2,3192.2,1893,11183,-9.56,25.59,3193.9,3194.8,3195.52,3203.56,3195.5,-1
1272362940,3191.80,3193.2,3190,3190,1191,11218,-9.47,23.95,3193.18,3193.67,3194.71,3201.67,3192.2,-1
1272363120,3189.80,3189.8,3183.7,3184.4,1903,11121,-9.74,20.38,3191.18,3191.99,3193.57,3199.46,3190,-1
1272363300,3184.30,3185.1,3180,3181.7,1953,11373,-10.05,18.92,3188.76,3190.29,3191.97,3197.02,3184.4,-1
1272363480,3181.90,3181.9,3174.3,3177.3,1780,11525,-10.53,16.8,3185.12,3187.84,3189.91,3195.66,3181.7,-1
1272363660,3177.20,3179.4,3173,3174.6,1424,11623,-11,15.64,3181.6,3185.1,3187.75,3194.29,3177.3,-1
1272363840,3175.10,3178.2,3173.6,3178.2,1461,11646,-10.96,23.24,3179.24,3182.63,3186.21,3192.92,3174.6,1
1272364020,3178.20,3180.6,3177.4,3178,1122,11629,-10.82,23.11,3177.96,3180.6,3184.57,3191.7,3178.2,-1
1272364200,3178.20,3181.8,3178,3179.4,1100,11629,-10.47,26.1,3177.5,3179.09,3183.13,3190.6,3178,1
1272364380,3178.70,3179.4,3174.8,3176.9,1345,11707,-10.28,24.28,3177.42,3178.01,3181.27,3189.25,3179.4,-1
1272364560,3176.70,3176.7,3169.1,3170.3,1833,11726,-10.54,20.28,3176.56,3176.39,3179.08,3187.84,3176.9,-1
1272364740,3170.20,3171.6,3164.3,3164.3,1704,11778,-11.11,17.46,3173.78,3174.53,3176.51,3186.2,3170.3,-1
1272364920,3164.30,3164.3,3149.8,3153.3,2223,11686,-12.3,13.7,3168.84,3171.49,3173.4,3184.07,3164.3,-1
1272365100,3153.30,3156,3151,3154.5,1686,11718,-12.99,15.83,3163.86,3168.1,3170.68,3182.1,3153.3,1
1272365280,3154.50,3158.2,3153.9,3157.6,1192,11751,-13.14,21.24,3160,3165.19,3168.71,3180.2,3154.5,1
1272365460,3157.80,3161.7,3156.9,3160.2,1727,11671,-12.91,25.56,3157.98,3162.44,3167.27,3178.4,3157.6,1
1272365640,3160.20,3161,3159.4,3159.8,908,11709,-12.6,25.33,3157.08,3160,3165.43,3176.67,3160.2,-1
1272365820,3160.00,3163,3158.5,3160.1,1290,11775,-12.2,25.87,3158.44,3158.54,3163.64,3175.07,3159.8,1
1272366000,3160.10,3161.7,3157.5,3158.9,1863,11908,-11.84,25.09,3159.32,3157.77,3161.59,3173.38,3160.1,-1
1272366180,3158.60,3160.4,3151.7,3151.7,2202,11969,-12,20.99,3158.14,3157.54,3159.07,3171.38,3158.9,-1
1272366360,3151.40,3154.2,3142.7,3142.7,2847,12078,-12.7,17.21,3154.64,3155.86,3156.31,3168.86,3151.7,-1
1272366540,3142.20,3145.6,3141.4,3144.2,1742,11945,-12.99,19.8,3151.52,3153.94,3154.3,3166.58,3142.7,1
1272366720,3145.00,3145,3137.7,3139.7,2064,11993,-13.42,17.99,3147.44,3151.01,3152.94,3164.18,3144.2,-1
1272366900,3139.80,3161.7,3139.3,3156.7,3396,11409,-12.26,40.3,3147,3150.57,3153.16,3162.86,3139.7,1
1272367080,3156.90,3158.4,3152.5,3154.2,1544,11316,-11.4,38.63,3147.5,3149.73,3152.82,3161.55,3156.7,-1
1272367260,3154.40,3158.4,3152.7,3156.3,1288,11214,-10.43,40.84,3150.22,3149.36,3152.43,3160.55,3154.2,1
1272367440,3156.30,3156.9,3153.4,3155.1,851,11137,-9.65,39.96,3152.4,3149.84,3151.96,3159.62,3156.3,-1
1272367620,3155.30,3162.1,3155.3,3159.2,1232,10935,-8.61,44.39,3156.3,3152.2,3151.87,3158.72,3155.1,1
1272373200,3160.80,3165.7,3154.2,3154.8,1789,11177,-8.04,40.9,3155.92,3153.71,3151.46,3157.61,3159.2,-1
1272373380,3154.60,3155.3,3147.3,3148.7,1673,11312,-7.99,36.6,3154.82,3155,3151.16,3156.15,3154.8,-1
1272373560,3148.40,3149.8,3146.1,3149.1,1668,11493,-7.82,37.07,3153.38,3153.91,3151.8,3154.83,3148.7,1
1272373740,3148.90,3149.9,3143.6,3144.2,1641,11655,-8,33.78,3151.2,3152.49,3151.8,3153.59,3149.1,-1
1272373920,3143.60,3161.1,3143.5,3155.8,2582,11640,-7.12,45.98,3150.52,3152.41,3153.41,3153.18,3144.2,1
1272374100,3155.80,3160,3154.8,3158.3,1604,11736,-6.15,48.2,3151.22,3152.87,3153.57,3153.42,3155.8,1
1272374280,3158.30,3161.5,3156.3,3157.6,1195,11774,-5.37,47.61,3153,3152.64,3153.91,3153.57,3158.3,-1
1272374460,3158.00,3161.6,3157.3,3158.2,1139,11706,-4.66,48.2,3154.82,3153.13,3154.1,3153.6,3157.6,1
1272374640,3158.20,3159.2,3154.1,3154.3,1284,11785,-4.35,44.71,3156.84,3153.93,3154.02,3153.31,3158.2,-1
1272374820,3154.30,3156.9,3153.6,3156.8,1328,11816,-3.87,47.34,3157.04,3155.03,3153.78,3153.17,3154.3,1
1272375000,3156.80,3157.3,3149.2,3150.2,2204,11849,-3.97,41.7,3155.42,3155.89,3153.32,3152.7,3156.8,-1
1272375180,3150.50,3150.5,3131.8,3133.4,3525,11790,-5.34,31.43,3150.58,3152.69,3151.79,3151.49,3150.2,-1
1272375360,3133.30,3135.7,3130.3,3132.6,2470,11987,-6.42,31.03,3145.46,3149.01,3150.14,3150.58,3133.4,-1
1272375540,3132.60,3135.3,3131.7,3134.1,1604,12093,-7.08,32.73,3141.42,3145.66,3149.13,3150.17,3132.6,1
1272375720,3134.10,3134.2,3129,3132.7,1854,12240,-7.62,31.94,3136.6,3142.01,3146.82,3149.62,3134.1,-1
1272375900,3132.70,3141.6,3129.2,3138.5,2209,11994,-7.5,38.55,3134.26,3139.76,3144.84,3149.56,3132.7,1
1272376080,3138.50,3139.9,3133.2,3133.2,1814,12000,-7.74,35.19,3134.22,3136.39,3142.4,3148.44,3138.5,-1
1272376260,3133.20,3134.5,3130.7,3131.4,1796,12097,-7.98,34.1,3133.98,3133.7,3139.72,3147.36,3133.2,-1
1272376440,3131.60,3136.8,3130.9,3134,1755,12052,-7.87,37.12,3133.96,3133.79,3137.69,3146.3,3131.4,1
1272376620,3134.00,3136.9,3133.8,3136.1,1155,12029,-7.53,39.53,3134.64,3134.29,3135.62,3145.39,3134,1
1272376800,3136.30,3139.6,3136.1,3138.7,1457,11953,-6.97,42.48,3134.68,3134.94,3134.47,3144.41,3136.1,1
1272376980,3138.60,3140.6,3137.2,3137.3,1082,11989,-6.56,41.31,3135.5,3135.6,3134.86,3143.58,3138.7,-1
